,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
1121,78.88732,606.260017,2012-07-18,608.340012,603.559982,606.590012,AAPL,63175000
1122,78.975798,606.93998,2012-07-17,611.499977,603.149986,610.790001,AAPL,73406200
1123,78.971899,606.910019,2012-07-16,611.61998,605.019989,605.120018,AAPL,75315100
1124,78.719462,604.970001,2012-07-13,607.190025,600.000008,602.949982,AAPL,77856800
1125,77.929627,598.900009,2012-07-12,603.469994,592.68,600.240013,AAPL,107010400
1126,78.649198,604.430016,2012-07-11,607.659996,597.220024,606.119987,AAPL,117330500
1127,79.141058,608.210022,2012-07-10,619.869995,605.309982,617.969978,AAPL,127989400
1128,79.880142,613.889992,2012-07-09,613.899979,604.110008,605.299995,AAPL,94851400
1129,78.83787,605.879982,2012-07-06,608.439987,601.580017,607.089996,AAPL,104732600
1130,79.366164,609.939995,2012-07-05,614.339989,599.649986,600.56002,AAPL,121095800
1131,77.995985,599.409981,2012-07-03,600.000008,593.999977,594.879997,AAPL,60428200
1132,77.099452,592.519997,2012-07-02,593.469978,583.600006,584.730019,AAPL,100023000
1133,75.990821,584.000015,2012-06-29,584.000015,574.249992,577.999985,AAPL,105375200
1134,74.045503,569.04998,2012-06-28,574.00,565.610008,571.670013,AAPL,70709100
1135,74.754665,574.499985,2012-06-27,576.739983,571.920006,575.000023,AAPL,50749300
1136,74.43327,572.030022,2012-06-26,574.489998,567.329994,571.329979,AAPL,69134100
1137,74.269317,570.77002,2012-06-25,579.800026,570.37001,577.299995,AAPL,76095600
1138,75.743588,582.099998,2012-06-22,582.189987,575.420006,579.040009,AAPL,71117900
1139,75.16715,577.669991,2012-06-21,588.219978,577.440025,585.439995,AAPL,81587800
1140,76.217227,585.739975,2012-06-20,589.250015,580.799995,588.209991,AAPL,89735800
1141,76.434536,587.410027,2012-06-19,589.999992,583.100021,583.400002,AAPL,90351100
1142,76.222432,585.779976,2012-06-18,587.889984,570.37001,570.959984,AAPL,110103000
1143,74.706521,574.12999,2012-06-15,574.619987,569.550018,570.999985,AAPL,83813800
1144,74.368205,571.529984,2012-06-14,573.500015,567.259979,571.23999,AAPL,86393300
1145,74.450185,572.160011,2012-06-13,578.479996,570.379997,574.520012,AAPL,73395000
1146,74.970668,576.159996,2012-06-12,576.61998,566.70002,574.459984,AAPL,108845100
1147,74.32136,571.169975,2012-06-11,588.499985,570.62999,587.719994,AAPL,147816200
1148,75.511971,580.319984,2012-06-08,580.580017,568.999992,571.599998,AAPL,86879100
1149,74.39293,571.720001,2012-06-07,577.320023,570.50,577.290009,AAPL,94941700
1150,74.359101,571.460022,2012-06-06,573.849983,565.499992,567.770004,AAPL,100363900
1151,73.236155,562.830025,2012-06-05,566.470001,558.330002,561.269989,AAPL,97053600
1152,73.426126,564.289978,2012-06-04,567.499985,548.499977,561.500008,AAPL,139248900
1153,72.996726,560.989983,2012-06-01,572.650009,560.520012,569.159996,AAPL,130246900
1154,75.174961,577.730019,2012-05-31,581.499985,571.460022,580.740021,AAPL,122918600
1155,75.362333,579.169998,2012-05-30,579.98999,566.55999,569.199997,AAPL,132357400
1156,74.464493,572.269974,2012-05-29,574.00,565.309975,570.900009,AAPL,95127200
1157,73.165884,562.289986,2012-05-25,565.850014,558.469978,564.590012,AAPL,82126800
1158,73.560156,565.320015,2012-05-24,576.499977,561.229988,575.870003,AAPL,124057500
1159,74.241986,570.559975,2012-05-23,572.800026,553.230019,557.500023,AAPL,146224400
1160,72.473644,556.970024,2012-05-22,573.879997,552.580017,569.550018,AAPL,173717600
1161,73.034461,561.279976,2012-05-21,561.540009,534.04998,534.499977,AAPL,157776500
1162,69.013715,530.37999,2012-05-18,543.409981,522.180016,533.959991,AAPL,183073100
1163,68.979886,530.12001,2012-05-17,547.500008,530.12001,545.309998,AAPL,179305000
1164,71.056621,546.080002,2012-05-16,556.890022,541.039993,554.050011,AAPL,140224000
1165,71.979179,553.169991,2012-05-15,563.219994,551.749985,561.45002,AAPL,119084000
1166,72.636291,558.219986,2012-05-14,567.510025,557.599998,562.569992,AAPL,88156600
1167,73.741023,566.710007,2012-05-11,574.470024,564.350006,565.000008,AAPL,99886500
1168,74.236781,570.519974,2012-05-10,575.87999,568.43998,574.579987,AAPL,83300000
1169,74.062425,569.180023,2012-05-09,573.980026,560.850006,563.700005,AAPL,120176000
1170,73.9323,568.18,2012-05-08,571.500023,558.730011,569.579979,AAPL,124313000
1171,74.101459,569.480003,2012-05-07,572.770012,561.229988,561.500008,AAPL,115029600
1172,73.551045,565.25,2012-05-04,578.359993,565.169998,577.080017,AAPL,132498100
1173,75.707153,581.819992,2012-05-03,591.400024,580.300011,590.499977,AAPL,97637400
1174,76.248456,585.97998,2012-05-02,587.399986,578.859978,580.239983,AAPL,106847300
1175,75.747494,582.130013,2012-05-01,596.759987,581.230019,584.900009,AAPL,152749800
1176,75.988215,583.979988,2012-04-30,598.400024,582.999992,597.800011,AAPL,126536200
1177,78.463126,603.000023,2012-04-27,606.180016,600.499992,605.069977,AAPL,101680600
1178,79.074692,607.699997,2012-04-26,614.69001,602.12999,614.269974,AAPL,134017100
1179,79.373975,610.000023,2012-04-25,617.999992,605.999985,615.639992,AAPL,226444400
1180,72.904343,560.280006,2012-04-24,567.690002,554.999992,562.609993,AAPL,269037300
1181,74.390324,571.699974,2012-04-23,576.670021,556.620003,570.610016,AAPL,241632300
1182,74.556883,572.980003,2012-04-20,594.620018,570.419998,591.379997,AAPL,257746300
1183,76.438434,587.439987,2012-04-19,604.729996,584.519974,600.219986,AAPL,208679800
1184,79.157972,608.340012,2012-04-18,620.249977,602.709976,613.720001,AAPL,238632800
1185,79.334934,609.699989,2012-04-17,610.000023,571.910019,578.93998,AAPL,256382000
1186,75.487252,580.13002,2012-04-16,610.279976,578.249977,610.059998,AAPL,262696700
1187,78.753291,605.22998,2012-04-13,624.700012,603.509995,624.109985,AAPL,214911200
1188,81.035618,622.769981,2012-04-12,631.330017,620.500023,624.999992,AAPL,153584200
